# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	124	507	+	JJLLKI_00001	257.0	2.2e-90	1.0	0.955	0.992	BlastRules:WP_001738217
contig_1	cds	509	2002	+	JJLLKI_00002	941.0	0.0	1.0	1.0	0.992	BlastRules:WP_000261284
contig_1	cds	1983	3194	+	JJLLKI_00003	809.0	1.0e-299	1.0	1.0	0.990	BlastRules:WP_000323786
contig_1	cds	3202	3444	+	JJLLKI_00004	148.0	8.7e-49	1.0	1.0	0.988	BlastRules:WP_000210202
contig_1	cds	3711	4034	+	JJLLKI_00005	199.0	2.3e-68	1.0	0.991	0.991	BlastRules:WP_001738219
contig_1	cds	4041	4631	+	JJLLKI_00006	360.0	4.4e-129	1.0	1.0	0.959	BlastRules:WP_000094422
contig_1	cds	4628	5101	+	JJLLKI_00007	314.0	3.2e-112	1.0	1.0	0.987	BlastRules:WP_000711029
contig_1	cds	5104	6558	+	JJLLKI_00008	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0C5PLQ7
contig_1	cds	6574	7161	+	JJLLKI_00009	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0C5PRG6
contig_1	cds	7164	7580	+	JJLLKI_00010	275.0	2.8e-97	1.0	1.0	0.993	BlastRules:WP_000249606
contig_1	cds	7638	8066	+	JJLLKI_00011	284.0	1.3e-100	1.0	0.986	0.972	BlastRules:WP_000979963
contig_1	cds	8082	8864	+	JJLLKI_00012	467.0	2.5e-169	1.0	1.0	0.973	VFDB:VFG000505
contig_1	cds	8861	9550	+	JJLLKI_00013	446.0	3.9e-162	1.0	1.0	0.983	VFDB:VFG000506
contig_1	cds	9644	9859	+	JJLLKI_00014	135.0	5.0e-44	1.0	1.0	0.972	BlastRules:WP_000350226
contig_1	cds	9837	10127	+	JJLLKI_00015	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A4Z0P980
contig_1	cds	10124	10387	+	JJLLKI_00016	149.0	4.3e-49	0.931	0.988	0.975	BlastRules:WP_001574409
contig_1	cds	10486	11133	+	JJLLKI_00017	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A1X8WFU3
contig_1	cds	11448	11699	+	JJLLKI_00018	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A455RTX6
contig_1	cds	11696	12370	+	JJLLKI_00019	424.0	2.6e-153	1.0	1.0	0.982	BlastRules:WP_000011201
contig_1	cds	12360	13352	+	JJLLKI_00020	631.0	8.7e-232	1.0	0.976	0.988	BlastRules:WP_000238877
contig_1	cds	13410	13778	+	JJLLKI_00021	254.0	2.1e-89	1.0	1.0	0.975	BlastRules:WP_000383702
contig_1	cds	13763	15808	+	JJLLKI_00022	1254.0	0.0	1.0	1.0	0.999	BlastRules:WP_001258231
contig_1	cds	15798	17099	+	JJLLKI_00023	855.0	5.6e-317	1.0	1.0	0.998	BlastRules:WP_000787213
contig_1	cds	17048	17479	+	JJLLKI_00024	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_P74858
