# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	124	507	+	JJLLKI_00001	spiC	SPI-2 type III secretion system protein SpiC	BlastRules:WP_001738217, GO:0005576, GO:0005737, GO:0015031, RefSeq:WP_000881668.1, SO:0001217, UniParc:UPI0001603E19, UniRef:UniRef100_A0A618AG36, UniRef:UniRef50_P0CZ04, UniRef:UniRef90_P0CZ04
contig_1	cds	509	2002	+	JJLLKI_00002	sctC2	SPI-2 type III secretion system protein SpiA	BlastRules:WP_000261284, GO:0009279, GO:0015627, GO:0030254, GO:0030257, KEGG:K03219, RefSeq:WP_077464034.1, SO:0001217, UniParc:UPI0005D78900, UniRef:UniRef100_A0A0C5PNF2, UniRef:UniRef50_D0ZWR9, UniRef:UniRef90_D0ZWR9
contig_1	cds	1983	3194	+	JJLLKI_00003	sctD	SctD family type III secretion system inner membrane ring subunit SsaD	BlastRules:WP_000323786, GO:0030254, KEGG:K03220, RefSeq:WP_001580231.1, SO:0001217, UniParc:UPI00023060D9, UniRef:UniRef100_A0A0C5PLQ2, UniRef:UniRef50_Q8ZPP4, UniRef:UniRef90_Q8ZPP4
contig_1	cds	3202	3444	+	JJLLKI_00004	ssaE	YscE family type III secretion system co-chaperone SsaE	BlastRules:WP_000210202, KEGG:K18984, RefSeq:WP_000210204.1, SO:0001217, UniParc:UPI0000059DF4, UniRef:UniRef100_A0A637CH52, UniRef:UniRef50_A9MEM2, UniRef:UniRef90_A0A5I8S2X7
contig_1	cds	3711	4034	+	JJLLKI_00005	sseA	SPI-2 type III secretion system chaperone SseA	BlastRules:WP_001738219, GO:0005737, KEGG:K15367, SO:0001217, UniParc:UPI0001AF6177, UniRef:UniRef100_A0A625LG18, UniRef:UniRef50_O84944, UniRef:UniRef90_O84944
contig_1	cds	4041	4631	+	JJLLKI_00006	sseB	SPI-2 type III secretion system translocon protein SseB	BlastRules:WP_000094422, GO:0005576, GO:0005829, GO:0009986, GO:0030254, KEGG:K15344, RefSeq:WP_023226951.1, SO:0001217, UniParc:UPI00030FF05A, UniRef:UniRef100_A0A5T2RLK0, UniRef:UniRef50_Q7BVH7, UniRef:UniRef90_Q7BVH7
contig_1	cds	4628	5101	+	JJLLKI_00007	sscA	SycD/LcrH family type III secretion system chaperone SscA	BlastRules:WP_000711029, RefSeq:WP_000711023.1, SO:0001217, UniParc:UPI000169E69F, UniRef:UniRef100_A0A5W3GQY3, UniRef:UniRef50_H9L426, UniRef:UniRef90_H9L426
contig_1	cds	5104	6558	+	JJLLKI_00008	sctE2	type III secretion system translocon protein	GO:0005576, GO:0005737, GO:0009986, GO:0016020, GO:0030254, GO:0033644, GO:0051087, RefSeq:WP_077464036.1, SO:0001217, UniParc:UPI0005D9EA04, UniRef:UniRef100_A0A0C5PLQ7, UniRef:UniRef50_O84947, UniRef:UniRef90_O84947
contig_1	cds	6574	7161	+	JJLLKI_00009	sseD	SPI-2 type III secretion system translocon protein SseD	GO:0005576, GO:0009986, GO:0016020, GO:0030254, GO:0033644, KEGG:K15346, RefSeq:WP_064043322.1, SO:0001217, UniParc:UPI0005D8D4C7, UniRef:UniRef100_A0A0C5PRG6, UniRef:UniRef50_Q9R803, UniRef:UniRef90_Q9R803
contig_1	cds	7164	7580	+	JJLLKI_00010	sseE	LcrR family type III secretion system chaperone SseE	BlastRules:WP_000249606, RefSeq:WP_000249605.1, SO:0001217, UniParc:UPI0000059DF9, UniRef:UniRef100_A0A726AFE3, UniRef:UniRef50_A9MEL6, UniRef:UniRef90_A0A6C6Z162
